name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Carlos Rodón,607074,SF,L,95.5,1749,2985,FF,4-Seamer,12.0,5.9
 Gerrit Cole,543037,NYY,R,97.8,1698,3274,FF,4-Seamer,10.5,10.4
 Logan Gilbert,669302,SEA,R,96.1,1625,3015,FF,4-Seamer,11.9,6.4
 Nick Pivetta,601713,BOS,R,93.4,1572,3082,FF,4-Seamer,10.9,5.1
 Triston McKenzie,663474,CLE,R,92.5,1565,2807,FF,4-Seamer,11.6,3.0
 Cristian Javier,664299,HOU,R,93.8,1530,2554,FF,4-Seamer,12.2,7.3
 Spencer Strider,675911,ATL,R,98.2,1524,2277,FF,4-Seamer,10.7,5.1
 Joe Ryan,657746,MIN,R,92.0,1436,2391,FF,4-Seamer,17.5,10.7
 Zac Gallen,668678,AZ,R,94.1,1411,2935,FF,4-Seamer,13.5,3.4
 José Urquidy,664353,HOU,R,93.5,1392,2640,FF,4-Seamer,11.7,7.7
 Kevin Gausman,592332,TOR,R,95.0,1358,2783,FF,4-Seamer,13.1,10.5
 Justin Verlander,434378,HOU,R,95.0,1314,2607,FF,4-Seamer,11.4,9.5
 Lucas Giolito,608337,CWS,R,92.6,1312,2753,FF,4-Seamer,13.9,5.4
 Blake Snell,605483,SD,L,95.8,1300,2341,FF,4-Seamer,11.2,5.2
 Julio Urías,628711,LAD,L,93.1,1290,2622,FF,4-Seamer,14.9,3.0
 Dylan Cease,656302,CWS,R,96.8,1241,3120,FF,4-Seamer,10.3,3.0
 Michael Kopech,656629,CWS,R,94.9,1239,2011,FF,4-Seamer,11.9,9.9
 Robbie Ray,592662,SEA,L,93.4,1195,3047,FF,4-Seamer,13.4,6.7
 Hunter Greene,668881,CIN,R,98.9,1184,2200,FF,4-Seamer,12.1,11.7
 Eric Lauer,641778,MIL,L,93.3,1173,2676,FF,4-Seamer,14.6,9.8
 Justin Steele,657006,CHC,L,92.2,1155,2032,FF,4-Seamer,19.4,1.5
 Kris Bubic,663460,KC,L,91.9,1143,2262,FF,4-Seamer,15.9,7.7
 Pablo López,641154,MIA,R,93.6,1129,2910,FF,4-Seamer,17.9,4.5
 James Kaprielian,621076,OAK,R,94.0,1091,2230,FF,4-Seamer,15.5,7.6
 Tyler Mahle,641816,MIN,R,93.2,1084,2101,FF,4-Seamer,13.5,10.2
 Nestor Cortes,641482,NYY,L,91.8,1078,2465,FF,4-Seamer,12.7,4.1
 Alek Manoah,666201,TOR,R,93.9,1057,2949,FF,4-Seamer,14.3,5.5
 Daniel Lynch,663738,KC,L,94.0,1052,2435,FF,4-Seamer,15.3,6.9
 Jon Gray,592351,TEX,R,95.9,1042,2062,FF,4-Seamer,17.2,11.4
 Luis Garcia,677651,HOU,R,94.0,1038,2468,FF,4-Seamer,13.1,7.5
 Marco Gonzales,594835,SEA,L,88.4,1035,2838,FF,4-Seamer,20.3,12.2
 Trevor Rogers,669432,MIA,L,94.6,1022,1940,FF,4-Seamer,16.7,12.6
 Aaron Nola,605400,PHI,R,92.8,1015,3039,FF,4-Seamer,16.6,13.1
 Josiah Gray,680686,WSH,R,94.4,1015,2597,FF,4-Seamer,13.0,10.0
 Jameson Taillon,592791,NYY,R,94.1,999,2805,FF,4-Seamer,13.2,5.7
 Shane Bieber,669456,CLE,R,91.3,990,2875,FF,4-Seamer,15.3,8.5
 Zack Wheeler,554430,PHI,R,95.9,987,2358,FF,4-Seamer,13.6,9.2
 José Quintana,500779,STL,L,91.2,981,2724,FF,4-Seamer,17.7,2.4
 Max Scherzer,453286,NYM,R,94.0,981,2167,FF,4-Seamer,15.0,11.1
 Tyler Anderson,542881,LAD,L,90.7,979,2576,FF,4-Seamer,15.3,7.5
 Brandon Woodruff,605540,MIL,R,96.3,973,2538,FF,4-Seamer,12.1,6.0
 Charlie Morton,450203,ATL,R,94.9,963,2903,FF,4-Seamer,17.8,10.5
 Reid Detmers,672282,LAA,L,93.2,961,2181,FF,4-Seamer,14.7,10.1
 Ian Anderson,666120,ATL,R,94.0,960,2005,FF,4-Seamer,14.3,5.9
 George Kirby,669923,SEA,R,95.3,950,2092,FF,4-Seamer,15.1,8.8
 Andre Pallante,669467,STL,R,95.2,949,1753,FF,4-Seamer,21.0,3.6
 Jordan Lyles,543475,BAL,R,91.8,949,2988,FF,4-Seamer,15.5,5.8
 Cole Irvin,608344,OAK,L,90.7,941,2610,FF,4-Seamer,17.1,9.8
 Yusei Kikuchi,579328,TOR,L,94.9,932,1843,FF,4-Seamer,13.6,11.5
 Jake Odorizzi,543606,ATL,R,92.1,920,1798,FF,4-Seamer,15.0,9.8
 Lance Lynn,458681,CWS,R,93.0,919,2022,FF,4-Seamer,18.3,3.7
 Zach Plesac,668676,CLE,R,91.9,917,2153,FF,4-Seamer,13.5,7.4
 Max Fried,608331,ATL,L,94.0,916,2818,FF,4-Seamer,18.5,1.7
 Madison Bumgarner,518516,AZ,L,91.2,902,2715,FF,4-Seamer,17.8,8.0
 Paolo Espino,502179,WSH,R,88.5,899,1873,FF,4-Seamer,15.9,2.8
 Merrill Kelly,518876,AZ,R,92.6,895,3071,FF,4-Seamer,16.6,8.1
 Kyle Bradish,680694,BAL,R,94.6,887,1993,FF,4-Seamer,14.4,1.3
 Mitch Keller,656605,PIT,R,95.5,884,2661,FF,4-Seamer,15.2,7.3
 Shane McClanahan,663556,TB,L,96.7,879,2463,FF,4-Seamer,11.7,10.8
 Chris Flexen,623167,SEA,R,91.7,871,2204,FF,4-Seamer,13.7,2.3
 Jeffrey Springs,605488,TB,L,91.4,868,2149,FF,4-Seamer,15.3,11.4
 Dylan Bundy,605164,MIN,R,89.0,865,2180,FF,4-Seamer,15.3,4.5
 Zack Greinke,425844,KC,R,89.1,865,2272,FF,4-Seamer,18.4,2.0
 Miles Mikolas,571945,STL,R,93.5,860,3152,FF,4-Seamer,16.3,4.9
 Taylor Hearn,621368,TEX,L,94.8,854,1787,FF,4-Seamer,13.8,7.7
 Carlos Carrasco,471911,NYM,R,93.2,847,2412,FF,4-Seamer,17.5,7.5
 Germán Márquez,608566,COL,R,95.6,846,2839,FF,4-Seamer,16.6,8.9
 Brock Burke,656271,TEX,L,95.0,838,1330,FF,4-Seamer,14.0,10.3
 Austin Gomber,596295,COL,L,91.0,838,2059,FF,4-Seamer,15.6,6.3
 Keegan Thompson,624522,CHC,R,93.6,838,1878,FF,4-Seamer,13.9,4.4
 Luis Castillo,622491,SEA,R,97.1,824,2506,FF,4-Seamer,15.4,11.4
 Antonio Senzatela,622608,COL,R,94.2,821,1521,FF,4-Seamer,19.6,3.3
 Jonathan Heasley,669169,KC,R,93.4,819,1796,FF,4-Seamer,12.5,8.2
 Sandy Alcantara,645261,MIA,R,98.0,817,3248,FF,4-Seamer,14.9,12.0
 Brad Keller,641745,KC,R,94.5,803,2275,FF,4-Seamer,17.3,2.4
 Drew Rasmussen,656876,TB,R,95.5,795,2239,FF,4-Seamer,13.5,2.3
 Tony Gonsolin,664062,LAD,R,93.1,788,2015,FF,4-Seamer,14.2,8.5
 Joan Adon,672851,WSH,R,95.0,787,1204,FF,4-Seamer,15.4,10.7
 Luis Severino,622663,NYY,R,96.3,779,1639,FF,4-Seamer,12.2,7.6
 Roansy Contreras,672710,PIT,R,95.6,771,1588,FF,4-Seamer,12.3,7.4
 Andrew Heaney,571760,LAD,L,93.0,769,1230,FF,4-Seamer,17.5,14.8
 Mitch White,669952,TOR,R,93.7,768,1715,FF,4-Seamer,15.2,3.9
 MacKenzie Gore,669022,SD,L,94.7,763,1258,FF,4-Seamer,13.0,5.2
 José Berríos,621244,TOR,R,94.0,758,2721,FF,4-Seamer,16.6,10.6
 Colin Poche,621363,TB,L,93.2,754,974,FF,4-Seamer,10.7,0.9
 Yu Darvish,506433,SD,R,95.0,749,2971,FF,4-Seamer,13.5,7.1
 Freddy Peralta,642547,MIL,R,92.6,743,1353,FF,4-Seamer,16.0,8.8
 Trevor Williams,592866,NYM,R,91.2,743,1407,FF,4-Seamer,19.9,6.9
